Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
pro skates,1,1,260,43,0.19,https://proskatersplace.com/,34,0.96,6.00,0.56,29200000,"[20,30,36,8,16,16,67,13,5,0,45,13]",2025-12-26,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
wheels rollerblades,4,4,720,26,0.40,https://proskatersplace.com/products/inline-skating/inline-skate-wheels/,31,0.88,12.00,0.99,4430000,"[13,24,1,20,20,36,36,27,3,20,36,0]",2026-01-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
womens roller skates,5,5,2400,15,0.46,https://proskatersplace.com/how-much-does-roller-skating-cost/,28,0.79,12.00,1,15300000,"[13,7,7,16,13,8,8,7,10,7,5,5]",2026-02-25,"Sitelinks, Video, Image, Popular products, Related searches, Things to know",transactional,Things to know
jock female,1,1,1300,23,0.57,https://proskatersplace.com/shop/protection-gear-and-apparel/protective-shorts/stanley-vguard-hockey-female-jock-strap/,28,0.79,15.00,0.39,16200000,"[81,81,62,81,62,81,81,81,62,55,100,62]",2026-02-25,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Image pack
roller skates for men,5,5,2400,19,0.36,https://proskatersplace.com/how-much-does-roller-skating-cost/,28,0.79,10.00,1,13200000,"[7,10,7,8,8,4,5,4,5,5,5,5]",2026-02-19,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, Discussions and forums",transactional,Things to know
shortboard skateboard,1,1,210,6,0.30,https://proskatersplace.com/products/skateboards-and-longboards/shortboard-skateboards/,27,0.76,8.00,0.32,704000,"[1,1,1,2,3,3,4,4,5,5,8,10]",2026-02-23,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
roller skate wheels,5,4,2400,15,0.25,https://proskatersplace.com/best-roller-skate-wheels-for-beginners/,26,0.74,6.00,1,9710000,"[35,35,29,35,35,35,29,19,29,23,29,23]",2026-02-26,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview",informational,Things to know
best inline skates,3,3,880,14,0.39,https://proskatersplace.com/,26,0.74,10.00,1,11300000,"[34,34,24,30,24,24,24,24,30,30,30,44]",2026-02-03,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,Organic
castle skateland in loveland ohio,1,1,2900,35,0.00,https://proskatersplace.com/what-to-wear-when-rollerskating/,26,0.74,0.00,0.03,3970,"[3,2,81,100,66,43,43,0,13,36,36,66]",2026-02-22,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
rollerblades wheels,5,5,720,8,0.32,https://proskatersplace.com/products/inline-skating/inline-skate-wheels/,25,0.71,8.00,1,3310000,"[88,26,88,100,88,100,39,48,72,39,72,72]",2026-02-01,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
skating lessons,2,2,1600,28,1.27,https://proskatersplace.com/how-much-does-roller-skating-cost/,24,0.68,30.00,0.06,33500000,"[54,79,54,79,41,41,79,54,66,66,54,79]",2026-01-22,"Local pack, Video, People also ask, Related searches",commercial,People also ask
men's roller skates,4,4,1300,15,0.00,https://proskatersplace.com/how-much-does-roller-skating-cost/,22,0.62,0.00,0,6230000,"[52,20,44,100,16,20,20,20,20,24,27,52]",2026-02-23,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know",commercial,Things to know
inline skates,11,11,14800,28,0.37,https://proskatersplace.com/shop/inline-skates/,22,0.62,8.00,0.98,16600000,"[24,29,20,24,20,24,20,16,24,29,20,24]",2026-02-25,"Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",Organic
skate packages,1,1,90,4,0.45,https://proskatersplace.com/,22,0.62,9.00,0.53,94600000,"[52,52,41,23,52,82,64,41,41,82,100,23]",2026-01-30,"Local pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Local pack
nn ninja,2,2,170,0,0.00,https://proskatersplace.com/brand/nn-skates/,22,0.62,0.00,0.01,3760000,"[80,80,100,100,80,80,53,65,0,80,100,19]",2026-01-31,"Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",commercial,Organic
off road inline skates,2,2,170,1,0.74,https://proskatersplace.com/products/inline-skating/off-road-skates/,22,0.62,16.00,1,1930000,"[35,35,28,43,53,53,43,43,35,35,35,28]",2026-01-03,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
skate shortboard,1,1,90,7,0.30,https://proskatersplace.com/products/skateboards-and-longboards/shortboard-skateboards/,22,0.62,6.00,0.32,385000,"[3,19,11,19,26,34,65,34,3,100,19,65]",2026-02-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
inline skate shop,4,4,480,61,0.42,https://proskatersplace.com/,21,0.59,8.00,0.77,6790000,"[30,30,45,30,45,30,45,30,24,30,24,20]",2026-01-07,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
buy roller skates,1,1,260,61,0.45,https://proskatersplace.com/,21,0.59,9.00,1,33900000,"[16,11,11,11,8,8,7,8,8,7,7,7]",2026-01-26,"Local pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,Local pack
rollercave indianapolis,1,1,2400,36,0.00,https://proskatersplace.com/what-to-wear-when-rollerskating/,21,0.59,0.00,0.02,541000,"[19,3,81,100,54,28,28,0,13,28,28,43]",2026-02-26,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,People also ask
top inline skate brands,1,1,140,11,0.44,https://proskatersplace.com/7-best-inline-skate-brands/,18,0.51,7.00,1,2710000,"[53,53,43,34,43,53,34,43,34,28,81,53]",2026-01-31,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
pro skate,2,2,1000,51,0.30,https://proskatersplace.com/,18,0.51,5.00,0.74,247000000,"[53,66,13,16,3,3,18,5,0,4,24,3]",2026-02-19,"Local pack, Sitelinks, Video, Image, Related searches","commercial, navigational",Organic
skateboard shortboard,1,1,70,1,0.30,https://proskatersplace.com/products/skateboards-and-longboards/shortboard-skateboards/,17,0.48,5.00,0.32,538000,"[0,1,0,1,0,4,5,3,0,8,0,0]",2026-02-23,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
buy roller skate,1,1,70,58,0.45,https://proskatersplace.com/,17,0.48,7.00,0.99,29600000,"[15,28,23,1,1,1,0,11,15,18,11,6]",2026-01-03,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Local pack
inline skate store,4,4,390,64,0.42,https://proskatersplace.com/,17,0.48,7.00,0.77,6060000,"[67,67,81,29,81,29,29,44,29,15,29,29]",2026-01-08,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
chaya roller skates,4,4,260,,0.31,https://proskatersplace.com/brand/chaya-skates/,16,0.45,4.00,1,361000,"[11,13,16,13,16,16,13,13,13,13,13,13]",2026-01-13,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
skateland olympia,2,2,480,28,0.00,https://proskatersplace.com/what-to-wear-when-rollerskating/,15,0.42,0.00,0.01,10100,"[30,55,55,45,55,36,36,36,30,30,36,36]",2025-12-26,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, navigational",People also ask
villa roller rink broadway new jersey,5,5,880,26,0.00,https://proskatersplace.com/what-to-wear-when-rollerskating/,15,0.42,0.00,0.01,31200,"[55,10,100,81,81,55,62,10,36,55,45,62]",2026-02-01,"Knowledge panel, Video, Image, People also ask, Related searches",informational,People also ask
roller skating rink springfield ohio,2,2,880,28,0.00,https://proskatersplace.com/what-to-wear-when-rollerskating/,15,0.42,0.00,0.09,117000,"[0,0,0,0,100,0,0,0,0,0,0,0]",2026-01-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
ice skating prices,1,1,480,27,0.19,https://proskatersplace.com/how-much-does-roller-skating-cost/,15,0.42,2.00,0.16,43300000,"[27,52,24,16,8,7,1,7,4,0,8,0]",2026-01-07,"Video, People also ask, Related searches, AI overview",transactional,People also ask
roller skates chaya,4,4,320,2,0.34,https://proskatersplace.com/brand/chaya-skates/,14,0.39,4.00,1,476000,"[23,29,54,44,67,44,29,23,29,29,19,23]",2026-01-31,"Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
newark branch brook park skating rink,2,2,2900,39,0.18,https://proskatersplace.com/what-to-wear-when-rollerskating/,14,0.39,2.00,0.01,40900,"[24,3,81,100,100,36,43,0,13,28,36,36]",2026-02-22,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
flying eagle skates,7,7,590,8,0.65,https://proskatersplace.com/brand/flying-eagle/,14,0.39,9.00,0.84,994000,"[67,67,67,81,67,67,67,54,54,67,54,67]",2026-01-26,"Sitelinks, Video, Image, Ads bottom, People also ask, Popular products, Related searches, Short videos",commercial,Organic
sparkling wheels,1,1,110,0,4.12,https://proskatersplace.com/surface/sparkling-led/,14,0.39,57.00,0.16,75000000,"[4,4,4,4,4,4,4,4,29,29,66,100]",2026-01-05,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches","informational, transactional",Organic
inline skate parts,2,2,110,3,0.21,https://proskatersplace.com/products/inline-skating/replacement-parts/,14,0.39,2.00,0.56,2360000,"[2,2,3,3,3,3,4,3,4,4,4,4]",2025-12-26,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",commercial,Organic
best roller blades,5,5,480,19,0.45,https://proskatersplace.com/,14,0.39,6.00,1,25100000,"[37,25,20,25,25,25,20,13,25,20,13,25]",2026-01-27,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
roller derby wear,1,1,210,17,0.53,https://proskatersplace.com/what-to-wear-when-rollerskating/,13,0.37,6.00,0.46,3440000,"[35,28,35,18,35,35,35,15,23,44,81,8]",2026-02-05,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",People also ask
roller blades near me,9,9,1900,28,0.51,https://proskatersplace.com/,13,0.37,6.00,1,22400000,"[28,24,24,28,28,28,36,28,24,19,19,19]",2026-02-21,"Local pack, Video, Image, People also ask, Related searches",transactional,Organic
inline skate shops,2,2,170,64,0.36,https://proskatersplace.com/,13,0.37,4.00,0.81,8240000,"[54,44,5,4,2,5,19,36,36,36,36,19]",2026-01-22,"Local pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",commercial,Organic
skate rental,1,1,390,40,2.02,https://proskatersplace.com/how-much-does-roller-skating-cost/,12,0.34,24.00,0.07,38400000,"[37,31,25,31,20,13,2,20,16,20,20,20]",2026-01-07,"Local pack, Image, People also ask, Related searches",commercial,People also ask
rollerskate shoes,3,3,720,34,0.38,https://proskatersplace.com/how-much-does-roller-skating-cost/,12,0.34,4.00,1,13900000,"[4,7,1,1,1,1,0,1,1,1,2,13]",2026-02-21,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Things to know, Discussions and forums",transactional,Things to know
shortboards skate,1,1,50,0,0.30,https://proskatersplace.com/products/skateboards-and-longboards/shortboard-skateboards/,12,0.34,3.00,0.32,4710000,"[0,29,0,23,11,11,100,52,5,29,29,41]",2026-02-25,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",commercial,Organic
all terrain inline skates,3,3,170,2,0.40,https://proskatersplace.com/products/inline-skating/off-road-skates/,11,0.31,4.00,0.99,681000,"[42,53,34,80,80,80,80,53,53,65,53,42]",2025-12-27,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
rollerblade store near me,4,4,260,34,0.50,https://proskatersplace.com/,11,0.31,5.00,0.96,2300000,"[16,20,16,13,8,13,16,20,20,20,3,3]",2025-12-29,"Local pack, Sitelinks, Video, Image, Related searches",transactional,Organic
good inline skate brands,2,2,140,19,0.44,https://proskatersplace.com/7-best-inline-skate-brands/,11,0.31,4.00,1,3050000,"[43,43,35,23,28,53,43,35,28,35,43,12]",2026-01-31,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
speed skates for sale,1,1,170,22,0.27,https://proskatersplace.com/,11,0.31,2.00,1,13400000,"[24,20,16,16,16,10,5,5,8,8,5,8]",2026-01-14,"Local pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Local pack
rollerblades store near me,5,5,320,63,0.51,https://proskatersplace.com/,11,0.31,5.00,0.98,1210000,"[4,9,7,32,88,39,88,26,26,26,17,14]",2025-12-31,"Local pack, Sitelinks, Video, Related searches",transactional,Organic
inline skates vs rollerblades,6,6,1600,23,0.12,https://proskatersplace.com/inline-skates-vs-rollerblades/,11,0.31,1.00,0.38,1280000,"[68,68,52,84,84,68,100,84,52,68,84,84]",2026-01-30,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
dixie skateland,2,2,1300,22,0.00,https://proskatersplace.com/what-to-wear-when-rollerskating/,11,0.31,0.00,0.02,12100,"[52,84,68,100,68,52,52,31,46,52,46,68]",2026-02-03,"Knowledge panel, Image pack, Sitelinks, People also ask, Related searches",navigational,People also ask
off road skates,2,2,480,13,0.55,https://proskatersplace.com/products/inline-skating/off-road-skates/,11,0.31,6.00,0.94,23200000,"[54,44,44,67,54,67,67,67,44,67,54,54]",2026-01-21,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums, AI overview",informational,Organic
pro skate shop,3,3,170,37,0.44,https://proskatersplace.com/,11,0.31,4.00,0.25,81100000,"[43,43,17,35,35,28,28,35,28,35,100,100]",2026-01-22,"Knowledge panel, Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
how to rollerblade,21,21,14800,34,0.02,https://proskatersplace.com/learn-rollerblade-tricks-without-getting-hurt/,10,0.28,0.00,0,5660000,"[0,0,0,0,0,0,0,0,0,0,6,100]",2026-02-25,"Sitelinks, Video, Image, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
roller skate wheel bearings,1,1,170,3,0.29,https://proskatersplace.com/products/roller-skating/roller-skate-bearings/,10,0.28,2.00,1,1350000,"[65,43,65,100,65,53,43,21,34,15,28,65]",2026-02-05,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",commercial,AI overview
rollerblade wheel bearings,1,1,90,,0.44,https://proskatersplace.com/products/inline-skating/inline-skate-bearings/,10,0.28,4.00,0.97,790000,"[100,50,64,78,64,50,100,64,64,50,50,50]",2026-02-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview",commercial,AI overview
rollar skating,1,1,480,66,0.41,https://proskatersplace.com/how-much-does-roller-skating-cost/,10,0.28,4.00,1,56100000,"[1,13,2,13,13,20,24,16,24,36,3,54]",2026-02-16,"Local pack, Sitelinks, Video, Image, Related searches, See results about, Things to know",commercial,Things to know
proskater,4,4,140,65,0.00,https://proskatersplace.com/,9,0.25,0.00,0,4290000,"[22,18,22,29,66,29,43,22,35,35,29,29]",2026-01-02,"Sitelinks, Video, Image, Video Carousel, Related searches",commercial,Organic
best inline roller skates,1,1,260,21,0.39,https://proskatersplace.com/,9,0.25,3.00,1,7680000,"[20,13,4,7,3,13,4,13,4,7,5,20]",2026-01-31,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic
offroad rollerblade,2,2,70,15,0.41,https://proskatersplace.com/products/inline-skating/off-road-skates/,9,0.25,3.00,0.97,312000,"[27,45,63,100,100,100,81,27,45,36,45,27]",2026-02-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,Organic
rollerblading tricks,1,1,140,25,0.06,https://proskatersplace.com/learn-rollerblade-tricks-without-getting-hurt/,9,0.25,0.00,0.76,1460000,"[43,14,22,43,18,35,14,29,14,14,35,35]",2026-01-14,"Sitelinks, Video, Image, People also ask, Related searches, Short videos, Discussions and forums",informational,People also ask
inline skate shops near me,6,6,480,57,0.66,https://proskatersplace.com/,9,0.25,5.00,0.99,1370000,"[54,67,54,19,54,29,67,67,67,44,36,44]",2026-02-12,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
pro skates inline,1,1,70,17,0.59,https://proskatersplace.com/shop/inline-skates/,9,0.25,5.00,0.93,5160000,"[2,2,2,2,2,2,2,2,2,2,0,100]",2026-02-24,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
inline skate stores,2,2,110,60,0.42,https://proskatersplace.com/,9,0.25,3.00,0.77,11000000,"[33,52,52,52,66,52,100,23,52,66,52,33]",2025-12-26,"Local pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums",commercial,Organic
seba skates,10,10,480,6,0.25,https://proskatersplace.com/brand/seba/page/2/,9,0.25,2.00,0.9,601000,"[25,25,25,31,20,25,20,20,20,20,20,20]",2026-01-22,"Knowledge panel, Sitelinks, Video, Popular products, Related searches",informational,Organic
epic grind shoes,9,9,720,9,0.22,https://proskatersplace.com/shop/inline-skating/inline-boots/epic-grind-shoes/,9,0.25,1.00,0.9,6430000,"[30,34,24,24,24,16,16,16,16,44,24,20]",2026-01-31,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
roller king,9,9,3600,25,1.53,https://proskatersplace.com/what-to-wear-when-rollerskating/,9,0.25,13.00,0.02,154000000,"[29,54,36,23,15,23,23,36,23,19,23,29]",2026-02-26,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches",navigational,People also ask
skate pro,3,3,480,47,0.59,https://proskatersplace.com/,8,0.22,4.00,0.21,173000000,"[31,31,37,25,25,20,20,16,16,13,31,25]",2026-01-08,"Knowledge panel, Sitelinks, Video, Video Carousel, Popular products, Related searches","informational, transactional",Organic
powerslide,4,4,1600,59,0.42,https://proskatersplace.com/brand/powerslide/,8,0.22,3.00,0.63,4830000,"[19,24,24,28,24,24,24,24,19,28,28,24]",2026-01-29,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos",navigational,Organic
luminous wheels,2,2,320,19,0.57,https://proskatersplace.com/brand/luminous/,8,0.22,4.00,0.9,5220000,"[4,4,4,3,4,4,4,3,4,4,4,3]",2025-12-30,"Knowledge panel, Sitelinks, Video, Related searches","navigational, transactional",Organic
what to wear when roller skating,1,1,140,9,0.25,https://proskatersplace.com/what-to-wear-when-rollerskating/,8,0.22,2.00,0.09,13300000,"[8,35,23,54,23,23,28,28,23,15,23,18]",2026-02-01,"Image pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
ionia skateland,2,2,320,27,0.00,https://proskatersplace.com/what-to-wear-when-rollerskating/,7,0.19,0.00,0.01,1600,"[54,81,66,81,66,54,35,28,28,44,44,54]",2026-02-11,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches",informational,People also ask
chaya skate,3,3,90,9,0.40,https://proskatersplace.com/brand/chaya-skates/,7,0.19,2.00,1,414000,"[32,21,32,2,2,2,5,2,2,3,2,2]",2026-01-03,"Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
lighted inline skate wheels,4,4,110,0,0.37,https://proskatersplace.com/brand/luminous/,7,0.19,2.00,0.99,267000,"[52,66,66,42,42,33,80,42,33,42,33,66]",2026-01-02,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",commercial,Organic
flying eagle inline skates,5,5,210,,0.77,https://proskatersplace.com/brand/flying-eagle/,7,0.19,5.00,0.96,476000,"[35,43,43,54,35,43,54,29,29,43,35,35]",2026-01-28,"Sitelinks, Video, Image, Ads top, Ads bottom, Popular products, Related searches, Short videos",commercial,Organic
rollerama skating center,3,3,480,17,0.00,https://proskatersplace.com/what-to-wear-when-rollerskating/,7,0.19,0.00,0.03,14700,"[30,36,20,36,45,30,30,16,16,24,16,20]",2026-01-07,"Knowledge panel, Video, Image, People also ask, Related searches",informational,People also ask
wheels for rollerblades,5,5,390,25,0.40,https://proskatersplace.com/products/inline-skating/inline-skate-wheels/,7,0.19,2.00,0.99,4310000,"[3,5,24,5,8,8,13,8,10,13,10,7]",2026-01-06,"Local pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
order skates online,2,2,90,64,0.85,https://proskatersplace.com/,7,0.19,5.00,1,17200000,"[35,35,35,64,64,100,78,50,64,64,100,78]",2026-01-19,"Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
chaya roller skate,4,4,110,1,0.31,https://proskatersplace.com/brand/chaya-skates/,7,0.19,2.00,1,358000,"[11,11,23,28,28,18,11,23,18,18,15,11]",2026-01-14,"Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
shortboard skateboard,1,1,210,6,0.30,https://proskatersplace.com/products/skateboards-and-longboards/shortboard-skateboards/,7,0.19,2.00,0.32,704000,"[1,1,1,2,3,3,4,4,5,5,8,10]",2026-02-23,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,AI overview
prices ice skating,1,1,320,35,0.19,https://proskatersplace.com/how-much-does-roller-skating-cost/,7,0.19,1.00,0.16,47000000,"[10,44,4,8,3,3,8,8,4,3,5,13]",2026-01-07,"People also ask, Related searches, AI overview",transactional,People also ask
fischer rc one 78 gt,3,3,90,8,0.86,https://proskatersplace.com/shop/winter-sports/alpine-skis/fischer-rc-one-78-gt-twin-powerrail-alpine-skis/,7,0.19,6.00,0.86,7960000,"[13,20,13,10,3,1,1,1,1,1,1,1]",2026-02-24,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
roller skating in austin texas,3,3,590,23,0.00,https://proskatersplace.com/how-much-does-roller-skating-cost/,7,0.19,0.00,0.05,1160000,"[8,52,8,100,5,8,25,8,4,37,68,52]",2025-12-28,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
inline skates light up,1,1,110,8,0.46,https://proskatersplace.com/brand/luminous/,7,0.19,3.00,1,4980000,"[53,23,35,17,35,28,28,23,17,28,43,17]",2026-01-27,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",transactional,People also ask
adapt skates,3,3,90,11,0.00,https://proskatersplace.com/brand/adapt/,7,0.19,0.00,0.83,1470000,"[12,12,12,9,12,15,15,19,12,9,9,12]",2026-02-06,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",commercial,Organic
aeon skates,3,3,110,2,0.44,https://proskatersplace.com/brand/usd-skates/,7,0.19,3.00,0.93,363000,"[28,23,23,28,28,23,23,23,28,28,43,23]",2026-02-07,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums",commercial,Organic
